date,count
2017-06-30,1
2017-07-01,3
2017-07-07,8
2017-07-09,3
2017-07-20,5
2017-07-21,2
2017-07-22,8
2017-07-23,4
2017-07-24,1
2017-07-25,10
2017-07-26,5
2017-07-27,2
2017-07-28,1
2017-07-29,8
2017-07-30,13
2017-07-31,3
2017-08-01,13
2017-08-02,2
2017-08-03,13
2017-08-04,3
2017-08-05,1
2017-08-06,8
2017-08-07,31
2017-08-08,10
2017-08-09,1
2017-08-10,16
2017-08-11,18
2017-08-12,23
2017-08-13,25
2017-08-14,22
2017-08-15,27
2017-08-16,19
2017-08-17,16
2017-08-18,3
2017-08-19,3
2017-08-20,7
2017-08-21,28
2017-08-22,64
2017-08-23,54
2017-08-24,13
2017-08-25,16
2017-08-26,16
2017-08-27,22
2017-08-28,33
2017-08-29,5
2017-08-30,13
2017-08-31,10
2017-09-01,23
2017-09-02,19
2017-09-03,2
2017-09-04,20
2017-09-05,5
2017-09-06,14
2017-09-07,14
2017-09-08,3
2017-09-09,9
2017-09-10,7
2017-09-11,13
2017-09-12,6
2017-09-13,16
2017-09-14,6
2017-09-15,18
2017-09-16,8
2017-09-17,3
2017-09-18,16
2017-09-19,5
2017-09-20,1
2017-09-21,22
2017-09-22,2
2017-09-23,4
2017-09-24,20
2017-09-25,20
2017-09-26,30
2017-09-27,41
2017-09-28,10
2017-09-29,14
2017-09-30,5
2017-10-01,15
2017-10-02,12
2017-10-03,32
2017-10-04,8
2017-10-05,21
2017-10-06,32
2017-10-07,7
2017-10-08,24
2017-10-09,46
2017-10-10,21
2017-10-11,10
2017-10-12,12
2017-10-13,54
2017-10-14,4
2017-10-15,13
2017-10-16,50
2017-10-17,63
2017-10-18,21
2017-10-19,9
2017-10-20,6
2017-10-21,13
2017-10-22,9
2017-10-23,19
2017-10-24,8
2017-10-25,9
2017-10-26,16
2017-10-27,3
2017-10-28,4
2017-10-29,8
2017-10-30,13
2017-10-31,13
2017-11-01,9
2017-11-02,18
2017-11-03,16
2017-11-04,17
2017-11-05,4
2017-11-06,2
2017-11-07,8
2017-11-08,31
2017-11-09,29
2017-11-10,5
2017-11-11,6
2017-11-12,9
