Date,Open,High,Low,Close,Adj Close,Volume
2014-03-17,0.901299,0.905551,0.900739,0.901331,0.901331,0
2014-03-18,0.904364,0.906816,0.902128,0.904323,0.904323,0
2014-03-19,0.898666,0.899442,0.893256,0.898650,0.898650,0
2014-03-20,0.889426,0.889798,0.886737,0.889245,0.889245,0
2014-03-21,0.889680,0.894630,0.887981,0.889601,0.889601,0
2014-03-24,0.890821,0.892642,0.889284,0.890813,0.890813,0
2014-03-25,0.893168,0.895472,0.892077,0.893096,0.893096,0
2014-03-26,0.895640,0.898893,0.895480,0.895656,0.895656,0
2014-03-27,0.901128,0.905141,0.900747,0.901015,0.901015,0
2014-03-28,0.906585,0.909174,0.904159,0.906651,0.906651,0
2014-03-31,0.904871,0.908637,0.903628,0.904977,0.904977,0
2014-04-01,0.904830,0.907523,0.903375,0.904814,0.904814,0
2014-04-02,0.906750,0.908835,0.905313,0.906783,0.906783,0
2014-04-03,0.906618,0.908678,0.905789,0.906700,0.906700,0
2014-04-04,0.906290,0.912409,0.906208,0.906290,0.906290,0
2014-04-07,0.910830,0.911984,0.908414,0.910755,0.910755,0
2014-04-08,0.911195,0.916271,0.911062,0.911120,0.911120,0
2014-04-09,0.914980,0.917979,0.913926,0.914997,0.914997,0
2014-04-10,0.919033,0.920133,0.915843,0.919118,0.919118,0
2014-04-11,0.914913,0.915986,0.910672,0.914629,0.914629,0
2014-04-14,0.911203,0.913876,0.909885,0.911062,0.911062,0
2014-04-15,0.911685,0.912159,0.908043,0.911743,0.911743,0
2014-04-16,0.910473,0.911801,0.906372,0.910382,0.910382,0
2014-04-17,0.908323,0.910448,0.907688,0.908348,0.908348,0
2014-04-18,0.908513,0.909587,0.907062,0.908504,0.908504,0
2014-04-21,0.907318,0.908546,0.906602,0.907375,0.907375,0
2014-04-22,0.907532,0.909174,0.905879,0.907606,0.907606,0
2014-04-23,0.906865,0.907935,0.904953,0.906923,0.906923,0
2014-04-24,0.906577,0.907853,0.906043,0.906577,0.906577,0
2014-04-25,0.907359,0.908265,0.905584,0.907359,0.907359,0
2014-04-28,0.906257,0.907853,0.905953,0.906290,0.906290,0
2014-04-29,0.907120,0.912659,0.907021,0.907104,0.907104,0
2014-04-30,0.913242,0.913910,0.910913,0.913075,0.913075,0
2014-05-01,0.912367,0.912659,0.909521,0.911993,0.911993,0
2014-05-02,0.912184,0.914027,0.909256,0.912134,0.912134,0
2014-05-05,0.911087,0.913075,0.910133,0.911079,0.911079,0
2014-05-06,0.912575,0.918358,0.912409,0.912559,0.912559,0
2014-05-07,0.918307,0.919709,0.917002,0.918358,0.918358,0
